Prueba,Tamaño_10,Tamaño_20,Tamaño_30,Tamaño_40,Tamaño_50,Tamaño_60,Tamaño_70,Tamaño_80,Tamaño_90,Tamaño_100,Tamaño_110,Tamaño_120,Tamaño_130,Tamaño_140,Tamaño_150,Tamaño_160,Tamaño_170,Tamaño_180,Tamaño_190,Tamaño_200,Tamaño_210,Tamaño_220,Tamaño_230,Tamaño_240,Tamaño_250,Tamaño_260,Tamaño_270,Tamaño_280,Tamaño_290,Tamaño_300,Tamaño_310,Tamaño_320,Tamaño_330,Tamaño_340,Tamaño_350,Tamaño_360,Tamaño_370,Tamaño_380,Tamaño_390,Tamaño_400,Tamaño_410,Tamaño_420,Tamaño_430,Tamaño_440,Tamaño_450,Tamaño_460,Tamaño_470,Tamaño_480,Tamaño_490,Tamaño_500,Tamaño_510,Tamaño_520,Tamaño_530,Tamaño_540,Tamaño_550,Tamaño_560,Tamaño_570,Tamaño_580,Tamaño_590,Tamaño_600,Tamaño_610,Tamaño_620,Tamaño_630,Tamaño_640,Tamaño_650,Tamaño_660,Tamaño_670,Tamaño_680,Tamaño_690,Tamaño_700,Tamaño_710,Tamaño_720,Tamaño_730,Tamaño_740,Tamaño_750,Tamaño_760,Tamaño_770,Tamaño_780,Tamaño_790,Tamaño_800,Tamaño_810,Tamaño_820,Tamaño_830,Tamaño_840,Tamaño_850,Tamaño_860,Tamaño_870,Tamaño_880,Tamaño_890,Tamaño_900,Tamaño_910,Tamaño_920,Tamaño_930,Tamaño_940,Tamaño_950,Tamaño_960,Tamaño_970,Tamaño_980,Tamaño_990,Tamaño_1000
1,800,900,2000,3700,3400,4800,8700,8400,13500,10700,14500,18700,26000,24000,24500,22900,30500,37300,42900,39700,50500,49200,53300,79200,99500,76300,80300,96100,74100,77500,118900,88100,121900,121200,147200,146200,137800,132100,126300,133600,134500,154200,183500,195500,204000,180700,215900,202700,286600,246300,225500,228700,282000,293900,304100,372200,326000,378200,406100,309500,418000,381200,466800,330100,431700,371800,468000,418600,495700,447600,438400,528600,787000,422000,701000,735100,594600,518700,583800,605900,603000,745900,561800,587100,660900,688000,677900,800100,1015700,806100,680600,757800,741600,817300,764300,922400,767700,767400,972300,1187500
2,400,900,1300,3200,3000,5100,7900,7700,13300,10300,14800,17400,22100,17800,25300,22600,31800,36700,46200,34400,52000,50600,49800,76200,98900,80000,72500,97200,70300,73900,120000,86700,109300,131300,144600,113000,157400,149100,138800,126100,138000,143200,153200,190300,189000,168800,227200,184900,229300,252900,202100,224600,282600,258000,243200,256000,284600,396000,414100,281600,343400,367300,336600,341400,341300,350800,363800,444300,524000,405900,423700,610100,599100,421000,495400,741900,472500,485100,507700,511300,525500,556300,532600,560400,619300,788400,609700,624500,1009300,656400,632300,702600,654200,835300,718600,858000,754800,762200,893000,1010100
3,400,700,1500,3200,2700,5900,7300,8200,13100,9700,14900,16800,22100,19100,23900,23100,32200,36500,42000,33100,47700,55500,53300,58400,102100,69700,69300,93700,69000,74000,116300,81000,119400,108400,144500,106500,139000,179600,139200,122300,159700,143500,150000,178900,166600,171100,174700,191100,260900,240700,358300,226800,227300,221500,258500,246800,247000,363800,370500,416100,307700,366800,298900,332300,339500,340200,365500,369400,551900,386600,419800,475200,605900,429500,550500,594700,478100,496900,484200,503200,660000,538000,510100,545700,705900,854200,607200,631200,1005400,645200,653000,673000,671700,719500,744600,709100,775000,800200,859000,800000
4,400,1000,1600,2600,3300,5300,6800,9200,12500,9600,13300,28200,22500,20000,27000,23600,29300,38800,45500,33200,49100,44100,55800,57700,63900,74000,61700,99000,75200,71700,92800,85700,90300,90500,158700,109300,135800,155000,127600,141600,142300,155700,175200,204100,158400,180900,183400,201900,248300,243100,255200,212500,229400,229700,236400,260200,284300,362900,329600,295100,296600,335100,370000,327400,341400,349300,356600,362100,508600,386900,456900,487100,517600,451000,652200,519300,489700,497900,510200,510300,508100,545100,741900,747600,856100,788000,668500,611400,1019200,643200,653900,668800,660500,692800,674300,722100,761700,779500,745500,776200
5,300,800,1500,2700,3200,5600,7800,7800,13600,10000,13700,15900,22400,21500,23400,22800,29700,32500,42300,33700,62100,39300,43400,57300,50100,86500,73700,97300,74300,91600,100000,97400,87700,100100,143300,110600,134300,171100,124200,135800,137500,145200,138200,161500,172600,194900,174800,189100,226000,220300,283300,217400,248800,234700,256100,256000,252900,373400,329600,283300,384200,297300,376400,316500,337000,341400,348300,363500,500300,380500,405500,505000,458100,446200,454700,517500,472500,498100,489100,488000,628500,523700,512000,852300,682700,1074100,620200,613800,1005100,655500,658400,677200,687000,714500,690200,724000,743900,757400,783900,779200
6,400,800,1600,3000,3000,5800,7300,7600,12700,9400,14100,16500,21100,18000,26200,23600,30600,37300,42800,36700,36000,39600,46400,75500,52600,74300,61600,86000,79400,76200,77000,89200,94700,97800,153900,110400,130900,153000,117900,136300,131400,156000,148900,151800,170500,210100,176700,186700,229500,201600,268500,217400,210900,244600,247600,238400,258100,366500,273100,299100,290400,303800,318800,407600,326500,351200,333700,374200,378700,380100,441700,631400,429600,495500,450800,498200,629300,473000,506100,571800,572000,493300,577400,733200,641200,823100,658100,618300,882600,621600,663000,678500,686000,706800,687600,743900,739300,732900,729300,811600
7,200,1000,1400,2700,3000,5100,7500,8300,13000,10400,13900,17200,23600,21300,24000,24700,32000,39600,46000,35700,36700,42600,44700,53200,53300,91300,75700,88700,66800,88700,82600,84400,90400,97000,150400,114900,134000,159300,134500,126000,134500,139700,142800,160400,160900,172600,190100,275300,223900,196600,267700,216900,226300,239600,267300,262100,258400,351600,279200,294700,296300,309700,313600,466100,316900,372600,346400,345000,461200,380300,687800,534800,426000,448600,619000,483200,487300,471200,620000,578200,526500,524600,650700,601100,568000,853800,604600,737200,1408300,654500,645000,696100,675100,734800,704700,692100,726100,773600,785400,815600
8,400,1000,1400,2600,2800,4900,7900,7900,12600,10100,14100,17100,22700,24100,22100,24900,32900,40800,42000,34200,41700,40800,44500,51200,49700,77600,71900,99300,70800,84300,70800,86400,86000,93900,145500,106200,132200,122600,126800,131200,137200,136600,150000,154000,185500,170200,174100,215000,189600,216300,278700,235500,217400,232300,245700,249700,270300,354500,294800,282000,307700,312700,324600,391500,363100,344600,367400,380300,377800,392100,558500,520700,418500,498800,742300,544400,503400,486000,501000,568000,586300,640700,562300,542700,584900,687300,625800,838800,949700,619400,625500,653900,687700,738000,710400,716800,745100,799800,759700,773300
9,200,800,1400,2100,3000,5200,7500,7500,12800,10600,13700,15800,23700,22100,25000,22300,31000,37800,45300,32700,38200,42800,44400,45400,54900,80700,62200,101500,111400,89000,76000,85000,89800,91000,148700,103100,147000,116500,120500,123500,139000,139700,154000,153400,166000,161300,181800,219200,190800,243500,270400,202000,226100,233100,241500,243800,261100,336000,269100,290500,302300,313500,311900,363800,322700,327300,344700,373500,364700,385700,485600,558000,617100,474300,737100,467200,910700,482600,488800,512000,657100,525200,523000,585700,568600,572900,607500,815400,917700,636900,663800,657900,689800,808900,705400,725500,738000,767100,875600,833000
10,400,800,1300,2300,3000,5200,7300,8100,13100,10900,14500,15700,24900,17700,24000,22200,29700,112000,40400,34900,39800,44100,43400,51300,51500,88800,56500,88400,106100,98600,76100,81300,83700,95300,144000,105100,131800,111200,122300,126100,142700,140900,143700,157300,235000,168100,186500,223000,201200,188800,273000,216900,221800,240000,240700,236000,258000,332300,269700,279700,313300,310300,357800,367500,448900,330500,334400,370400,386600,400100,436200,578300,418600,516400,735100,500400,1331200,474000,497100,530900,691400,551100,592600,785500,586800,614500,599600,878200,952600,645300,630900,669700,635900,898300,725600,736700,765200,736800,1020400,798700
