Prueba,Tamaño_10,Tamaño_20,Tamaño_30,Tamaño_40,Tamaño_50,Tamaño_60,Tamaño_70,Tamaño_80,Tamaño_90,Tamaño_100,Tamaño_110,Tamaño_120,Tamaño_130,Tamaño_140,Tamaño_150,Tamaño_160,Tamaño_170,Tamaño_180,Tamaño_190,Tamaño_200,Tamaño_210,Tamaño_220,Tamaño_230,Tamaño_240,Tamaño_250,Tamaño_260,Tamaño_270,Tamaño_280,Tamaño_290,Tamaño_300,Tamaño_310,Tamaño_320,Tamaño_330,Tamaño_340,Tamaño_350,Tamaño_360,Tamaño_370,Tamaño_380,Tamaño_390,Tamaño_400,Tamaño_410,Tamaño_420,Tamaño_430,Tamaño_440,Tamaño_450,Tamaño_460,Tamaño_470,Tamaño_480,Tamaño_490,Tamaño_500,Tamaño_510,Tamaño_520,Tamaño_530,Tamaño_540,Tamaño_550,Tamaño_560,Tamaño_570,Tamaño_580,Tamaño_590,Tamaño_600,Tamaño_610,Tamaño_620,Tamaño_630,Tamaño_640,Tamaño_650,Tamaño_660,Tamaño_670,Tamaño_680,Tamaño_690,Tamaño_700,Tamaño_710,Tamaño_720,Tamaño_730,Tamaño_740,Tamaño_750,Tamaño_760,Tamaño_770,Tamaño_780,Tamaño_790,Tamaño_800,Tamaño_810,Tamaño_820,Tamaño_830,Tamaño_840,Tamaño_850,Tamaño_860,Tamaño_870,Tamaño_880,Tamaño_890,Tamaño_900,Tamaño_910,Tamaño_920,Tamaño_930,Tamaño_940,Tamaño_950,Tamaño_960,Tamaño_970,Tamaño_980,Tamaño_990,Tamaño_1000
1,1300,3300,5800,8900,16100,17000,23400,29900,35500,51000,65500,58800,92600,74700,89800,103000,111700,153000,147800,186900,222600,218700,189900,236800,214200,218500,268000,279600,294000,400600,491700,508300,366700,412100,458800,705900,496600,478400,548700,520600,768300,637600,2153700,933300,736600,600900,618300,815000,1047500,751400,780300,896000,823100,1235100,944900,1068700,1270300,1750900,1004400,1266600,1132300,1090900,1220300,1155200,1683900,1225300,1478500,1348100,1586900,1713900,1991700,2177600,1483600,1752200,1559100,2042100,1688200,2049800,2015000,1943100,1837200,2044100,2004100,2150500,2066100,3026100,2053500,2124700,2234300,2324800,2247800,3856800,2457000,2455000,2681000,2693100,2607700,3200600,3022600,2739600
2,1000,3200,21900,10100,11500,16200,19700,31000,37900,53300,65800,62800,101000,104800,93500,107200,119900,157700,123000,132100,171900,155600,180300,210100,202200,212200,246300,297100,269900,322200,302200,494100,344300,356800,392300,437700,503600,439400,646400,465500,719900,605600,651800,636600,737600,616600,792200,665700,1041900,880800,737000,770100,790700,1229000,852900,907900,960600,1460200,954900,1072600,1067700,1072800,1081300,1126800,1670300,1173900,1218500,1274200,1466500,1389600,2050400,1491000,1427200,1499200,1521100,1600600,1597800,1640400,1692900,1763700,1765400,1895000,1928700,1888600,1949000,3102000,2017400,2104600,2147800,2763100,2227500,2369300,2413300,2507000,2703700,2580700,3587100,2652400,2599000,4033300
3,800,3100,5900,9400,10600,14900,18600,39200,38400,47700,89400,61700,87500,91800,98400,106700,126400,158000,116000,127600,179100,294100,166300,211100,198800,233100,226900,260600,256300,272800,283500,371400,341800,349600,387800,444500,445100,473500,572600,470100,613800,509000,589700,571300,808300,581000,699200,648100,1037300,823200,729700,773900,824300,1045400,841800,884200,1118800,1497500,958600,1015500,1047400,1086900,1094200,1147100,1600400,1191900,1232900,1473400,1778600,1335300,2001000,1416800,1411900,1468500,1518500,1592000,1599700,1659700,1686300,1726700,2014000,1831600,1877400,1886100,1930100,3105000,2075700,2193600,2432300,3227300,2395300,2271100,2311000,2358400,3892900,2509900,3065300,2955200,2716600,2835000
4,800,3400,34000,9300,14400,19300,20900,38600,63200,40500,63500,63900,80000,71100,92800,115200,119100,148700,137800,127500,190200,178800,283900,234100,194100,211600,241500,240300,268500,271800,312400,300100,330200,346300,369500,403800,409300,485000,526300,563600,633600,751100,568600,648900,617000,652900,752100,669900,1043000,711000,749000,764400,779900,882200,840600,897500,994000,1502300,949800,979100,1041300,1034000,1099600,1130800,1567100,1218000,1228800,1303500,1309400,1375200,2086200,1472700,1444100,1487400,1528800,1635700,1635000,1655700,1905600,1719800,2467200,1883100,1842400,1925600,2010200,3067200,2002200,3331200,2257600,2254500,2529000,2432500,2300400,2392800,3823300,2655900,3005300,3665500,3559500,3354200
5,800,3000,5900,10300,12700,19300,19800,36900,30700,38700,64700,62600,71300,69100,96500,106800,117000,155300,120400,140000,169700,189400,221600,225000,243300,208300,233500,243300,249600,338300,290800,320400,325600,358400,384200,395800,406300,421100,482300,477600,654200,621200,526600,582000,610500,682000,677900,671700,1049200,706900,749600,735600,771700,835400,870200,867500,905000,1479000,978800,1610000,1041300,1083300,1100500,1175400,1204000,1212700,1242400,1288000,1356200,1337700,1841700,1410000,1453600,2070400,1549200,1671100,1644600,1653100,2433900,1753300,2486300,1817100,1803300,2065300,1947500,6011700,2033300,2932600,2182900,2309600,2291000,2379300,2364400,2432600,2515000,3205900,2665100,2973800,2645800,2868900
6,800,3000,6200,9500,14600,18800,20000,37600,32000,40500,66400,64700,72000,67000,94600,107100,117100,167600,133500,127200,178600,181900,202500,221000,199500,208900,281700,249000,254200,342500,293700,305900,338100,349400,458100,400100,416300,435600,450100,483800,638500,539900,526800,550100,567000,618600,636000,658100,1118400,722400,719000,803000,795700,857300,872000,883500,967200,1499300,986600,1535300,1010700,1071800,1099700,1151800,1546500,1207200,1671300,1286700,1344300,1316800,1903800,1422700,1488200,2074500,1654500,1607100,2898900,1935100,2080800,1725400,2052600,1848600,1880800,2280400,1957200,5263000,2065500,2486200,2281800,2340900,2266700,2666000,2304000,2410100,2947700,3236100,2793900,3092700,2603300,3042000
7,700,2400,5700,9800,15500,20100,20100,38900,44900,41100,65700,58400,73600,67900,92600,107200,138700,157700,117900,127100,188100,154100,167000,226500,194600,208600,225600,251600,262300,339500,293300,310500,321400,344200,385400,393100,402400,411100,439100,465000,643500,503300,567300,659100,652600,620800,639400,803500,951800,731600,723100,754700,841900,819400,830200,868400,934400,1530100,968100,1334700,1039900,1092100,1097900,1115200,1348400,1216800,1322200,1263600,1655700,1464400,1997400,1436900,1484400,1666600,1920000,1824700,2236100,2377300,2077800,1796000,1777000,1786600,1828300,2379100,1974800,2487000,2543400,2169600,2338900,2490600,2545600,3156000,2335200,2430600,2673100,2565100,4484300,2697700,2619400,4031300
8,900,3200,194600,9100,15000,15100,320600,37700,37300,40000,57100,54400,80900,79200,96200,121800,114100,165600,120400,131300,188700,170200,163900,181600,211000,217400,231900,240900,260900,364800,292600,304300,333900,349300,359900,393800,411800,425000,450600,470000,653600,525800,524200,677400,587700,614100,650900,944200,724600,727600,727100,754100,803300,839200,848600,902700,892300,1547300,968900,1339300,1037000,1066800,1100200,1128300,1327200,1205000,1212600,1295500,1869700,1592000,2030300,1403400,1895900,1940800,2527400,1690800,1694100,1775200,1869000,1749800,2040100,1801300,1875200,2263000,1975500,3057300,2730000,2242900,2372200,3790100,2232600,3348100,2793300,2628800,3739900,2459600,3400300,2905900,2670700,3161600
9,700,2600,6100,9400,15100,15400,21600,41100,37700,40900,57900,54800,78200,66500,106000,111100,118700,166100,123200,127100,183600,166200,185800,186000,202200,210700,226300,247200,270000,339200,288400,322200,337200,332200,370900,454300,420100,423400,442900,454700,684800,503000,528700,721000,590400,608500,631500,718800,681500,716500,748900,754200,798200,879200,861000,896400,888400,1494800,974400,1022000,1050100,1092800,1107800,1097400,1275700,1192800,1250200,1695100,1299300,1531000,2003100,1414900,2038200,2115800,2379200,1581700,1846600,1788700,1746000,1756400,2063000,1999600,1872100,2041100,2674500,1980600,2319200,2395800,3156200,2368300,2251400,3327900,2344600,3026500,3722000,2667600,2579800,3623600,3346700,3305800
10,800,3200,6800,10000,13700,18700,20700,35200,32200,46600,55100,54400,72300,69800,91500,109300,125800,155300,116900,127400,186300,150000,168800,190000,201400,210900,227600,253300,258000,281600,294000,314500,328800,344700,380800,388800,404400,423700,445600,484700,696300,537700,540300,805700,661000,622800,636700,648500,1084200,701900,729400,731600,975800,838600,899700,892800,902400,1600000,1458300,1335300,1057300,1062800,1103600,1184100,1304500,2039200,1250100,1631400,1323600,1518000,2751800,1490000,1578400,1508300,2690800,1604700,1714500,1736200,1736000,3090800,2279500,2375900,2410300,2045600,2471000,2016300,2596400,2063500,2105100,3151100,2697400,3408800,2282800,3388300,3613700,2511300,2877000,2820200,3810100,2736600
