Prueba,Tamaño_10,Tamaño_20,Tamaño_30,Tamaño_40,Tamaño_50,Tamaño_60,Tamaño_70,Tamaño_80,Tamaño_90,Tamaño_100,Tamaño_110,Tamaño_120,Tamaño_130,Tamaño_140,Tamaño_150,Tamaño_160,Tamaño_170,Tamaño_180,Tamaño_190,Tamaño_200,Tamaño_210,Tamaño_220,Tamaño_230,Tamaño_240,Tamaño_250,Tamaño_260,Tamaño_270,Tamaño_280,Tamaño_290,Tamaño_300,Tamaño_310,Tamaño_320,Tamaño_330,Tamaño_340,Tamaño_350,Tamaño_360,Tamaño_370,Tamaño_380,Tamaño_390,Tamaño_400,Tamaño_410,Tamaño_420,Tamaño_430,Tamaño_440,Tamaño_450,Tamaño_460,Tamaño_470,Tamaño_480,Tamaño_490,Tamaño_500,Tamaño_510,Tamaño_520,Tamaño_530,Tamaño_540,Tamaño_550,Tamaño_560,Tamaño_570,Tamaño_580,Tamaño_590,Tamaño_600,Tamaño_610,Tamaño_620,Tamaño_630,Tamaño_640,Tamaño_650,Tamaño_660,Tamaño_670,Tamaño_680,Tamaño_690,Tamaño_700,Tamaño_710,Tamaño_720,Tamaño_730,Tamaño_740,Tamaño_750,Tamaño_760,Tamaño_770,Tamaño_780,Tamaño_790,Tamaño_800,Tamaño_810,Tamaño_820,Tamaño_830,Tamaño_840,Tamaño_850,Tamaño_860,Tamaño_870,Tamaño_880,Tamaño_890,Tamaño_900,Tamaño_910,Tamaño_920,Tamaño_930,Tamaño_940,Tamaño_950,Tamaño_960,Tamaño_970,Tamaño_980,Tamaño_990,Tamaño_1000
1,1900,2900,5300,6400,8100,10300,9700,12400,14400,18700,22100,27000,23800,23000,33900,34600,31500,41400,39400,50000,39800,48300,46100,50700,67200,62200,65300,70100,66300,62700,63200,69200,87400,75800,99300,87600,77300,92400,99200,104600,113000,101500,101100,114100,115000,107700,118700,142800,127200,124600,107800,339000,129800,127700,136800,132500,148600,145300,141600,130800,185000,159600,140700,186000,157100,159400,193700,156900,146000,205400,181200,210800,177600,242600,192300,195900,173000,250200,235200,204700,184500,176000,202100,229300,192200,224500,273900,210000,236300,263000,243100,269500,231200,227200,208300,212300,275200,286500,247700,283200
2,1300,3500,4700,5700,6800,9900,9400,11500,14300,18000,21800,25700,24100,23200,34600,32600,32600,42400,33300,42300,38400,45200,40000,49800,68900,62300,58700,61000,65600,55600,57500,75700,69100,77700,95900,86900,70800,86500,107200,107900,110900,115800,82100,100200,113000,101300,205600,126600,98800,121300,102600,132300,128600,107600,112300,125400,140400,153900,119000,138100,151400,153800,131700,199100,133600,171700,168900,160300,165300,177000,154200,183400,167300,211400,168200,195300,163800,203800,202900,184600,173000,247400,216800,224800,183600,231200,277300,201100,233400,250600,212000,240600,246800,221400,209700,225300,257200,214300,228000,228100
3,1100,2500,5600,5100,7600,8800,9200,11000,13200,18000,21400,26000,51900,26500,32700,31800,42600,39900,32900,48100,41800,41300,39900,50000,65900,60400,57800,94400,52200,54800,64900,73200,72700,70800,80000,86400,80500,73200,99800,108100,95400,80800,80500,86200,114500,87900,91900,111700,97500,108400,132800,129000,128100,106500,108200,125100,142700,119600,116400,144100,127500,152600,129000,190500,133200,156400,169000,156900,147200,174700,149700,181500,154200,158100,175800,192700,164300,208700,224300,181500,172600,191100,179400,216100,183600,224800,219900,190800,231500,234100,238500,244400,243300,204300,209000,217200,273400,222900,217700,243300
4,1100,2500,5300,5200,7800,9300,9500,11300,13300,16900,21800,24800,24100,23700,30500,32800,39600,43300,32000,45800,38400,37600,65100,45000,64100,65100,57700,86600,51700,53900,61900,76200,66800,63400,78500,84300,69100,72500,88800,91900,94400,80400,81500,85100,106300,89000,96600,191600,98300,100000,102400,123800,127200,132600,115500,113000,150700,117000,132400,136400,123500,160700,129800,174600,131800,144400,167300,145800,154200,203400,151400,209600,168100,155000,156900,161200,162400,233700,199200,171600,201300,174900,175900,227100,261700,222700,236200,188400,230100,234600,239400,235200,245500,202800,208300,224900,257300,285600,216700,229900
5,900,2400,4900,4700,6700,10000,9200,14300,12900,18200,21500,23900,23500,25500,33100,29400,39500,41800,37200,47900,42300,36400,41700,40900,62600,50900,57600,76600,51900,54100,56400,76200,61300,63600,77500,85900,69500,71600,86900,91200,95300,80900,81300,85000,119600,88000,92800,110600,104200,99400,99800,116500,125600,106800,108200,131800,146800,116700,118300,125100,127700,169300,128500,158100,131200,135700,165900,140600,156000,173500,147400,180900,153200,171000,157700,159300,162900,207300,165300,186600,170900,171400,176700,185900,181500,187600,215400,215100,195100,234500,234000,254400,257200,201900,227800,209600,253800,215500,270500,257300
6,1000,2200,4300,5700,6700,9700,9400,11900,13200,16300,21300,24700,22900,24200,31100,54800,41000,44000,36400,41000,39800,37600,38300,41700,53600,50300,60300,57000,52300,54700,62300,73000,62400,63200,76800,86700,68400,93400,87100,76300,94300,80800,92900,87800,94600,88400,92300,114300,97300,97000,99800,118000,125600,105200,108900,113100,128500,124200,125200,126400,128700,134600,129600,231900,148200,135500,168100,139200,143100,181400,158400,239000,153300,168600,168300,169800,184200,169600,181000,169400,171400,193500,176300,178200,179500,183600,232800,188100,189400,260400,233900,238000,244000,201900,238900,207600,329300,216100,260000,550000
7,900,2300,4600,5700,6900,7500,10700,12300,12800,16800,21100,25000,22800,22800,33200,29500,38800,35800,33700,46700,36400,42400,39300,41200,98300,46100,66800,72800,52300,53700,55700,95600,61300,77800,76800,85900,69000,71700,88700,92600,93800,80100,82000,86300,99000,88900,108800,115400,113100,97800,100500,118100,125700,106900,109300,113400,114800,119500,117600,137900,124000,125000,128400,160600,138800,133100,180900,141900,144900,188400,148100,152900,151000,155000,174300,159500,169800,170300,169400,181900,171600,189900,176000,187300,179900,190400,222300,188700,190400,197900,248800,222400,244000,205000,207900,213100,208700,213500,262600,222200
8,1000,2200,4200,5200,6400,8000,10200,12600,13000,17600,20800,23000,24200,23000,32800,29900,41400,35200,62000,40600,36300,37000,39500,41600,55800,45100,63600,49900,51800,53000,56100,74100,59300,62300,82100,86400,72800,71800,88800,75000,78300,79800,88800,97700,99000,88200,90700,119600,107400,97400,99700,118000,132100,107100,124600,111900,114600,116900,119200,120700,121200,138400,128700,159100,132300,136000,175200,140600,143400,181000,156400,152200,158500,164600,161300,159100,161900,162700,168200,167900,171000,192000,175900,178200,180300,199200,340000,187900,238400,210700,262000,212700,217100,202500,230000,208100,211100,225800,270300,220100
9,800,2300,4600,5500,6800,10300,10500,13200,12700,16500,21200,24300,22100,23900,33100,29000,38400,39400,35100,39700,35100,35800,38900,40800,49900,63300,68600,49000,51800,53300,55200,75600,59900,62800,77100,85300,69100,70700,83200,75700,78400,79300,128300,84000,107600,101800,92300,96700,97100,112900,105000,128100,133000,105300,108900,111600,114600,117600,117400,120600,122300,126100,148600,134700,141600,135800,140500,139400,141800,180300,147200,162600,174300,154200,156200,158300,162700,160700,166600,167800,171700,173900,178300,179200,188800,181900,232500,208400,190900,195500,230100,196100,200100,203400,212000,208000,206800,213200,226500,220300
10,1000,2200,4600,5200,6500,9400,9800,12600,12900,16200,21100,24300,22600,23600,33400,25600,36900,42900,30900,42700,35500,36800,38600,41000,48300,52500,71100,50400,50900,53900,56200,73500,59800,62700,78300,85200,68100,70800,73500,75700,77200,79300,125300,83800,161900,88200,91000,131100,96200,97500,100700,157400,132200,106900,108900,113400,115500,126300,117400,138100,123300,126600,130200,131000,157300,134300,138300,139700,142800,179300,147800,151300,154400,155200,165800,158800,162200,162000,165400,168100,171400,174000,177900,177600,179600,182300,230800,189400,189000,192900,445100,196500,202800,200800,205500,206200,224000,212700,214800,217700
11,900,2200,4600,5300,6700,8800,10500,12400,12500,16800,20700,27100,22300,23700,26300,25400,38600,40700,30700,37000,35600,41300,39800,41500,43300,45500,73200,58800,65900,62100,70400,72200,58700,62100,77100,84700,68100,70600,73500,75500,77200,79100,120400,84200,97000,88600,90100,113100,96100,98000,100600,124600,139600,105400,109600,123200,138000,126100,117700,139300,120900,126800,128400,132400,152600,143800,138900,140600,187100,144200,146900,150400,151500,153900,155700,159600,161100,163300,165900,170100,170500,184200,177700,180000,178400,183100,244100,187600,191300,205200,236200,195000,202700,212100,205700,208400,212500,212700,214900,220600
12,900,2300,4200,5200,7000,8900,10800,12000,12700,17300,21300,26700,23100,23500,23800,44500,35200,38200,31400,33000,35800,40500,43800,41500,42200,44000,71300,49100,50800,55700,55000,74400,60100,62800,77200,85500,103300,78700,72400,75100,77400,78800,113500,84300,101200,88800,225100,108800,92600,97600,100200,123500,188400,113000,120700,136800,132000,116900,117300,216500,122500,126600,130300,145100,141900,136400,137200,141000,162800,145400,258700,150700,152600,151100,170900,169300,170700,163800,165800,180500,170500,179400,185400,178100,177500,188500,211000,198400,190900,194000,243600,195800,202400,203400,205500,245600,211100,223300,215300,238800
13,900,2000,4700,5500,6900,9600,10500,13400,13000,16600,22000,26300,21200,22500,24400,28900,36300,36700,31200,32800,35400,53900,39700,97000,42700,45300,60000,49500,50900,55200,54800,74200,59800,70300,78100,85500,89900,77700,80000,77300,86800,79500,120200,99300,95300,96100,92200,145400,108500,103300,99900,122400,161800,128200,110000,138000,128600,133400,117900,141300,131800,125400,128000,140000,131800,133700,138400,140500,142400,145200,151600,149300,150900,154600,168700,174000,160200,162500,211400,188600,170700,188900,176300,178000,177900,182300,212600,187400,189300,192500,246200,205300,200800,202700,216200,208000,209400,212200,214900,217300
14,900,2400,5000,5400,6900,8600,10100,13800,12900,16900,21500,25400,21100,24600,23700,30600,38200,41800,30600,33200,34800,51800,38700,40200,43700,51500,58700,49500,51300,54800,55500,75300,60400,67500,77000,85500,88600,70600,73200,76900,77800,95500,100000,84000,100600,88600,92300,113200,111300,96600,100100,123500,134200,140400,109800,121100,123900,116700,118000,149200,122000,125900,128300,130400,138300,136200,137300,140500,142200,143000,149200,149200,152400,153000,178100,182100,162200,163000,171600,229600,171300,173000,175900,179500,187900,181900,221700,193100,188100,227400,271700,195000,201800,202300,212400,217700,208700,211000,225800,218600
15,900,2200,4500,5500,7100,7700,11000,13900,12900,17500,24500,26500,21100,23400,23000,27400,40400,40700,30600,33500,35200,47300,39000,39900,42600,48400,53600,49300,50700,54000,55400,75300,59700,70600,76100,86000,89300,69700,72900,74700,135200,87300,98100,84300,89200,87300,92200,105400,107200,97200,99600,125800,127500,135600,108800,110800,115600,116000,117900,137600,123200,124800,128400,130700,131300,146600,136000,142200,142000,144800,148500,150100,149600,153700,179000,158300,162000,161100,217200,173300,191900,179300,174600,177700,177300,184400,239100,186300,190200,198000,197800,197600,200700,199700,210200,224000,211000,212300,213400,218700
16,800,2200,4700,5300,7900,7600,9900,14000,12700,19300,21300,26000,21600,24500,23200,27500,39800,35800,30700,32800,34600,44800,38800,56700,58400,49000,56800,48700,51000,55300,54400,75100,59200,62100,88600,85600,87700,71400,72900,75900,80600,93100,98300,84400,102900,88600,99900,104500,98100,97000,98900,127200,109600,134500,107900,113800,114900,116200,118800,350600,122400,125900,127300,130100,132000,134300,137100,150300,139700,142300,146700,150100,174600,153700,157200,163800,161300,162100,195700,171100,170400,191800,176200,178700,178900,182700,299900,187500,190700,195000,217700,207100,202300,200900,245000,217500,210600,233500,212100,217400
17,900,2200,4100,5900,7000,7600,10100,13900,11900,18500,21200,27200,22500,24600,23000,31400,38700,35900,31500,33100,34900,44900,38600,41500,51600,51700,56300,56800,50800,53500,56100,75200,58500,61400,83300,83300,90600,71200,72300,75400,80700,79800,97800,89400,91900,88200,91500,94400,103400,95900,100900,124700,105700,134400,110100,112500,114000,115400,117300,136000,123600,125200,129700,149000,132500,134100,136700,139300,152000,141500,145800,155500,149300,153900,156200,160800,170200,163500,193300,169200,177400,172900,177700,195300,178000,188800,229100,187500,200900,194500,425800,197900,203400,200700,233500,210500,208200,232800,214100,218600
18,800,2200,4600,5500,8100,7800,9900,15000,13000,16400,20700,27500,21700,27800,37200,26500,36200,34800,31000,31900,34400,44200,38100,41300,51400,55800,53300,56900,50700,54500,55100,77500,67900,61400,144800,122100,90500,69500,72800,137800,94400,80500,98400,101400,99700,88100,90800,93300,94800,102800,98500,125200,104300,132400,108700,111600,120700,117100,117800,134200,122200,124000,128100,131200,130500,134700,135800,141000,141800,141800,156000,151000,149100,154200,165800,158000,165700,168300,171500,182200,224100,171200,176500,176400,178300,192400,223600,187500,196900,193400,196700,196200,281300,202100,207800,216900,210200,218000,214000,223500
19,1000,2200,4600,5400,6900,7800,10200,14300,12800,16700,21100,26900,21900,28100,23400,25200,36100,40600,31100,33200,34700,44100,38500,40800,45500,44800,56400,54300,63800,53000,63300,77800,59800,62200,76400,79900,89800,70400,87900,224500,210400,80900,97400,87800,85000,88600,90200,92900,107000,97000,100200,122200,104600,187200,109900,111900,146100,115900,117800,135700,122700,125100,128200,130600,132000,135000,144400,140900,143800,143000,146200,150300,148800,153400,167400,159800,159400,161300,166100,169900,247500,172100,201900,180100,184800,180800,235700,196100,220400,212000,198900,195800,235800,200600,209700,210100,217200,307500,212400,217500
20,900,2300,4700,5100,7500,7200,10300,14600,12500,16700,20200,27100,21800,25600,23100,25600,34600,43300,30200,32500,34900,43700,39400,48100,44200,44800,55000,52500,51100,53700,55500,69200,58600,61800,73300,68700,88000,74700,72400,74200,115100,80800,82800,83000,90400,88700,143700,93800,95900,97000,99800,163200,104700,109200,114300,114900,128900,116600,127900,139400,121400,124900,128200,137900,133900,134800,149200,139600,142400,141100,146800,149200,150000,154000,165700,159300,160300,163100,165600,167900,208000,171100,176300,174900,179000,182700,224100,207100,213200,267200,195900,197900,229500,208400,214000,209900,209400,223600,213900,226200
21,800,2300,4500,5600,7600,7700,10200,14900,12100,17900,20500,26800,22500,26700,23300,24900,39900,43700,31000,32800,34300,44300,39000,40500,43900,44800,58500,54100,50600,54500,54600,73700,59500,61700,63100,68500,90200,83000,72700,74900,98400,79500,82700,97300,96700,88000,91400,93300,94500,96600,110400,124700,104200,109400,107400,114200,134300,116000,117300,217000,131800,124200,127600,130800,139600,134400,139000,138700,142100,141400,147000,161700,150900,150500,191700,159600,161200,162800,167900,169400,209700,177700,173700,176200,180500,181600,230300,203200,210800,236300,324700,204600,198300,201700,206700,299600,207800,214100,214300,218200
