Prueba,Tamaño_10,Tamaño_20,Tamaño_30,Tamaño_40,Tamaño_50,Tamaño_60,Tamaño_70,Tamaño_80,Tamaño_90,Tamaño_100,Tamaño_110,Tamaño_120,Tamaño_130,Tamaño_140,Tamaño_150,Tamaño_160,Tamaño_170,Tamaño_180,Tamaño_190,Tamaño_200,Tamaño_210,Tamaño_220,Tamaño_230,Tamaño_240,Tamaño_250,Tamaño_260,Tamaño_270,Tamaño_280,Tamaño_290,Tamaño_300,Tamaño_310,Tamaño_320,Tamaño_330,Tamaño_340,Tamaño_350,Tamaño_360,Tamaño_370,Tamaño_380,Tamaño_390,Tamaño_400,Tamaño_410,Tamaño_420,Tamaño_430,Tamaño_440,Tamaño_450,Tamaño_460,Tamaño_470,Tamaño_480,Tamaño_490,Tamaño_500,Tamaño_510,Tamaño_520,Tamaño_530,Tamaño_540,Tamaño_550,Tamaño_560,Tamaño_570,Tamaño_580,Tamaño_590,Tamaño_600,Tamaño_610,Tamaño_620,Tamaño_630,Tamaño_640,Tamaño_650,Tamaño_660,Tamaño_670,Tamaño_680,Tamaño_690,Tamaño_700,Tamaño_710,Tamaño_720,Tamaño_730,Tamaño_740,Tamaño_750,Tamaño_760,Tamaño_770,Tamaño_780,Tamaño_790,Tamaño_800,Tamaño_810,Tamaño_820,Tamaño_830,Tamaño_840,Tamaño_850,Tamaño_860,Tamaño_870,Tamaño_880,Tamaño_890,Tamaño_900,Tamaño_910,Tamaño_920,Tamaño_930,Tamaño_940,Tamaño_950,Tamaño_960,Tamaño_970,Tamaño_980,Tamaño_990,Tamaño_1000
1,1300,2400,3700,7300,6900,12000,16300,16900,16400,22600,43400,33100,57500,52400,76000,82200,78400,51200,87100,116800,107100,256400,88000,123100,144800,177900,219400,163400,219200,188800,224800,196000,266000,217000,235100,191000,280500,294700,264300,270400,359300,320800,338900,399800,436800,521400,516300,471200,563500,492500,407800,422500,501600,420800,521000,432400,517400,655400,492300,531000,781500,599500,742700,638800,611200,646200,833200,792000,810900,1074400,719500,908300,810000,723100,788700,975500,1006300,1298300,840400,853600,1402200,900700,1498300,944300,1284400,973300,1023000,1148900,1225700,1443900,1176000,1202800,1988700,1901800,1392100,1362700,2067000,1544700,1397800,1461500
2,1000,2100,3400,6300,6200,11800,19500,16400,15300,34200,36100,30800,54300,53100,69500,78300,235400,51500,90700,113300,65800,107100,104700,83800,151000,167500,135900,110600,152100,135100,143400,144000,271700,160500,169100,177900,219700,196400,205900,214400,253600,252500,311300,257200,341500,499400,518000,395200,428600,431100,336800,350700,425000,488600,527100,418300,531300,517700,493500,476600,645400,500500,516600,514600,724500,549200,604400,1066800,906600,614900,655500,645000,1099100,716300,776400,842200,776700,767800,784100,799500,1035800,1009000,847600,879200,1024500,928300,938300,972500,1030100,1595300,1117400,1159200,1987500,1201800,1096900,1123800,1586000,1185100,1288700,1220800
3,800,1900,3600,6300,6100,11000,18400,22000,22200,34500,38600,37100,49800,52600,51500,83900,51900,71500,65200,72900,66200,113800,81200,85000,153600,159200,126800,111300,150100,125400,135200,142600,160800,160700,170800,176800,187800,216100,226000,246500,235200,252600,486500,254300,322000,501500,506700,360900,377900,380800,352700,364500,362700,546800,408900,401300,506800,530900,567500,473700,485000,485500,502600,529200,639300,548600,562900,950700,700500,668900,635300,655500,1184600,696600,729300,1369000,922600,1037800,780700,789300,918200,908500,1002300,879400,914000,1325500,934100,949900,979400,1074500,1006800,1084800,1738400,1089800,1102800,1123400,1141600,1195200,2025600,1238700
4,700,1800,3600,6500,6400,11500,17600,22000,22700,34300,41200,45500,54100,48800,44700,69600,54400,50600,56500,73400,67300,113900,113200,85100,149100,163300,146600,139500,164300,141500,133000,143700,152300,178800,168800,177600,199300,197100,280700,213800,223700,235400,441400,288800,293800,528700,523300,337500,312900,322700,346400,349400,397800,461500,415700,404200,509800,433000,562200,455600,471700,496300,915400,518900,561500,549000,568900,648600,673900,615400,760300,666900,1496000,689400,720200,1323700,1069800,2654600,769500,1068800,868200,867300,1351200,881600,901100,973800,956300,954800,978200,987600,1040900,1102500,1312500,1074900,1498400,1127200,1153800,1264000,1622600,1274100
5,800,1800,3200,6200,6200,10900,18000,23600,22100,30900,77600,34400,50900,52000,45100,49900,66600,51300,56300,72400,65400,102000,78900,85600,151900,158800,125200,111300,143700,271400,135200,142800,150500,160200,185800,177500,187600,211000,206000,223300,257700,236300,481600,256100,266500,499200,487000,301500,327200,337000,339300,452100,491400,376300,387800,404200,415700,429100,443000,458900,482800,520800,556100,536200,569400,559700,564100,766200,613100,612000,703100,645500,1534100,679600,730900,1068500,1124900,1280900,961100,1138700,840200,829300,886800,1051800,907000,1062400,942400,951800,974300,997000,1008000,1080600,1512300,1080500,1213600,1123200,1139400,1181000,1203400,42649400
6,700,1900,3600,6400,6000,11700,17600,39700,20500,35300,31700,31200,54500,51800,60600,50300,65500,50700,55500,82100,181800,87600,78900,108100,149200,165300,126000,110500,143900,502500,135700,144700,149300,159900,168800,210600,191200,194900,206200,214300,360400,237500,438200,257300,280500,481800,503900,302200,392400,325200,338400,375400,1078400,378200,390400,411400,588000,511600,450000,458400,483800,498000,590000,523200,542200,546900,903700,627200,609000,622500,828900,772000,1103700,679500,700900,900100,1269300,752300,887600,1114800,851800,915800,865500,938800,898300,1371900,945500,953800,1044000,989400,1226500,1101800,1060700,1081800,1420000,1862400,1150600,1176000,1395900,2563500
7,700,1800,3400,6400,6000,11300,17100,22200,20000,32700,31800,31300,56600,47700,57600,49700,153800,50700,55700,123800,91500,86800,78500,83900,157400,161700,141900,111200,160800,168300,148000,153100,150100,158100,168300,176900,296600,203200,296700,214500,454100,235100,478300,255900,375800,497100,508700,302200,328300,336800,342600,349700,707000,377100,386700,400300,453600,432000,444500,492100,482500,488400,505300,517400,533300,600900,977300,582100,596200,612200,646900,658000,717400,688200,699100,827000,1288100,760800,1081900,835300,809200,852200,879300,951900,931800,925900,939800,948400,975400,1131300,1041600,1059400,1066000,1078100,1111000,1439200,1149100,1173800,1199300,2200100
8,700,1800,3700,6200,6100,11400,15600,20600,20100,22400,31900,30300,53900,45200,62700,49300,70500,49900,55900,107500,83500,88300,79500,85000,157900,166600,125000,112700,143500,169700,145100,157300,152000,159300,187100,175000,186800,195600,247800,211900,335000,235700,430100,256400,266800,526200,532100,313000,310900,337100,337900,349400,430500,387700,387000,400500,417800,452800,450900,659100,740600,497700,519900,535200,538100,705600,888900,594900,593900,613500,856300,654000,681600,681400,889200,775700,1297800,752900,770700,788900,814500,839600,864900,1606700,1956300,1018900,942700,952000,974300,1364700,1009600,1076700,1539300,1120500,1107900,1150100,1823800,1163100,1250000,1820200
9,700,1900,3400,5900,9100,11400,15500,21500,20700,22200,31900,30200,52400,50700,45200,50500,68700,50300,142700,92500,67400,86900,78400,83900,149600,174700,124900,111600,140500,169900,134400,142500,162800,159100,246200,452300,185400,197100,248900,220200,227300,232800,429600,255200,280600,494700,292900,300500,335000,323900,339900,364800,365700,555900,397800,484000,464100,428200,669100,458000,562100,497700,504000,519500,539900,907700,577800,605700,665900,619800,634800,655700,743700,840700,783600,1015000,1292600,749400,830600,802000,810800,831600,858500,1085700,1260100,1630500,931400,952200,1733300,1713400,1445000,1499000,1950800,1078500,1098400,1129700,1386700,1511200,1212000,1344500
10,700,1700,3500,6300,8300,11700,17900,21500,22600,21400,33800,40000,55500,48200,45400,49300,73200,50200,56000,74000,66400,85800,78900,85300,141600,167500,125000,111700,119100,170500,142400,141500,152100,173800,301100,177100,186400,194900,213100,213800,240100,246100,428400,476500,268100,503300,288700,302300,314000,324500,425400,348500,361300,574700,386500,429500,415300,431500,452000,780000,482500,497300,646200,613300,532100,570500,607900,579600,1281200,612700,644300,656600,686500,689800,716800,1178100,1789400,760900,772100,790800,817100,869200,942800,903500,883600,1007300,1677400,1059600,993200,1021800,1424600,1424600,1931900,1086000,1104700,1139800,1151300,1194800,1195100,1310500
